2018-12-19 00:05:19, CenturyLink Level 3, 209.244.0.3, ONLINE, 0, 29ms
2018-12-19 00:05:29, Verisign, 64.6.65.6, ONLINE, 0, 38ms
2018-12-19 00:05:39, Google, 8.8.8.8, ONLINE, 0, 46ms
2018-12-19 00:05:49, Quad, 149.112.112.112, ONLINE, 0, 30ms
2018-12-19 00:06:04, DNS Watch, 84.200.70.40, OFFLINE, 1, 0m
2018-12-19 00:06:14, Comodo Secure DNS, 8.26.56.26, ONLINE, 0, 43ms
2018-12-19 00:06:24, OpenDNS Home, 208.67.222.222, ONLINE, 0, 30ms
2018-12-19 00:06:34, Cloudflare, 1.0.0.1, ONLINE, 0, 55ms
2018-12-19 00:06:44, FreeDNS, 37.235.1.177, ONLINE, 0, 138ms
2018-12-19 00:06:59, Alternate DNS, 198.101.242.72, OFFLINE, 1, 0m
2018-12-19 00:07:14, Dyn, 216.146.36.36, OFFLINE, 2, 0m
2018-12-19 00:07:24, SafeDNS, 195.46.39.40, ONLINE, 0, 135ms
2018-12-19 00:07:39, OpenNIC, 198.206.14.241, OFFLINE, 1, 0m
2018-12-19 00:07:49, Yandex DNS, 77.88.8.8, ONLINE, 0, 138ms
2018-12-19 00:08:04, UncensoredDNS, 91.239.100.100, OFFLINE, 1, 0m
2018-12-19 00:08:14, Hurricane Electric, 74.82.42.42, ONLINE, 0, 97ms
2018-12-19 00:08:24, puntCAT, 109.69.8.51, ONLINE, 0, 138ms
2018-12-19 00:08:35, Neustar, 156.154.71.1, ONLINE, 0, 47ms
2018-12-19 00:08:45, CleanBrowsing, 185.228.169.9, ONLINE, 0, 280ms
2018-12-19 00:08:55, CenturyLink Level 3, 209.244.0.3, ONLINE, 0, 24ms
2018-12-19 00:09:05, Verisign, 64.6.64.6, ONLINE, 0, 100ms
2018-12-19 00:09:15, Google, 8.8.4.4, ONLINE, 0, 46ms
2018-12-19 00:09:26, Quad, 9.9.9.9, ONLINE, 0, 706ms
2018-12-19 00:09:36, DNS Watch, 84.200.70.40, ONLINE, 0, 118ms
2018-12-19 00:09:46, Comodo Secure DNS, 8.26.56.26, ONLINE, 0, 33ms
2018-12-19 00:09:56, OpenDNS Home, 208.67.222.222, ONLINE, 0, 45ms
2018-12-19 00:10:06, Cloudflare, 1.0.0.1, ONLINE, 0, 31ms
2018-12-19 00:10:16, FreeDNS, 45.33.97.5, ONLINE, 0, 43ms
2018-12-19 00:10:26, Alternate DNS, 23.253.163.53, ONLINE, 0, 60ms
2018-12-19 00:10:36, Dyn, 216.146.36.36, ONLINE, 0, 26ms
2018-12-19 00:10:46, SafeDNS, 195.46.39.40, ONLINE, 0, 132ms
2018-12-19 00:11:01, OpenNIC, 198.206.14.241, OFFLINE, 1, 0m
2018-12-19 00:11:16, Yandex DNS, 77.88.8.1, OFFLINE, 2, 0m
2018-12-19 00:11:26, UncensoredDNS, 91.239.100.100, ONLINE, 0, 121ms
2018-12-19 00:11:37, Hurricane Electric, 74.82.42.42, ONLINE, 0, 480ms
