
[2018-12-18 14:53:04]| ~Yandex DNS|~77.88.8.1^ says you are| (OFFLINE -- failure 2, Offline for 0m)
[2018-12-18 14:54:19]| ~Verisign|~64.6.64.6^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 14:54:34]| ~Google|~8.8.8.8^ says you are| (OFFLINE -- failure 2, Offline for 0m)
[2018-12-18 14:58:10]| ~Quad|~149.112.112.112^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 14:58:45]| ~OpenDNS Home|~208.67.222.222^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 14:59:20]| ~Alternate DNS|~198.101.242.72^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 14:59:35]| ~Dyn|~216.146.35.35^ says you are| (OFFLINE -- failure 2, Offline for 0m)
[2018-12-18 15:00:31]| ~Hurricane Electric|~74.82.42.42^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 15:00:46]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 2, Offline for 0m)
[2018-12-18 15:02:54]| ~Alternate DNS|~23.253.163.53^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 15:03:19]| ~SafeDNS|~195.46.39.39^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 15:03:44]| ~Yandex DNS|~77.88.8.8^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 15:03:59]| ~UncensoredDNS|~89.233.43.71^ says you are| (OFFLINE -- failure 2, Offline for 0m)
[2018-12-18 15:04:14]| ~Hurricane Electric|~74.82.42.42^ says you are| (OFFLINE -- failure 3, Offline for 0m)
[2018-12-18 15:04:29]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 4, Offline for 0m)
[2018-12-18 15:06:57]| ~SafeDNS|~195.46.39.39^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 15:07:32]| ~UncensoredDNS|~89.233.43.71^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 15:07:57]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 15:09:34]| ~OpenDNS Home|~208.67.220.220^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 15:11:32]| ~Neustar|~156.154.71.1^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 15:11:47]| ~CleanBrowsing|~185.228.168.9^ says you are| (OFFLINE -- failure 2, Offline for 0m)
[2018-12-18 15:14:34]| ~Hurricane Electric|~74.82.42.42^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 15:14:49]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 2, Offline for 0m)
[2018-12-18 15:17:16]| ~SafeDNS|~195.46.39.39^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 15:17:52]| ~UncensoredDNS|~89.233.43.71^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 15:24:12]| ~Yandex DNS|~77.88.8.1^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 15:31:18]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 15:37:55]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 15:41:14]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 15:43:20]| ~Alternate DNS|~198.101.242.72^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 15:44:37]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 15:47:59]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 15:56:51]| ~SafeDNS|~195.46.39.40^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 15:57:46]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 16:01:14]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 16:03:51]| ~OpenNIC|~198.206.14.241^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 16:04:06]| ~Yandex DNS|~77.88.8.8^ says you are| (OFFLINE -- failure 2, Offline for 0m)
[2018-12-18 16:04:46]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 16:06:54]| ~Alternate DNS|~198.101.242.72^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 16:10:47]| ~OpenNIC|~198.206.14.241^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 16:13:48]| ~Dyn|~216.146.35.35^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 16:15:14]| ~CleanBrowsing|~185.228.168.9^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 16:16:30]| ~OpenDNS Home|~208.67.220.220^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 16:19:18]| ~Quad|~149.112.112.112^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 16:20:04]| ~Cloudflare|~1.0.0.1^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 16:21:40]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 16:23:16]| ~OpenDNS Home|~208.67.222.222^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 16:23:31]| ~Cloudflare|~1.0.0.1^ says you are| (OFFLINE -- failure 2, Offline for 0m)
[2018-12-18 16:23:46]| ~FreeDNS|~45.33.97.5^ says you are| (OFFLINE -- failure 3, Offline for 0m)
[2018-12-18 16:24:01]| ~Alternate DNS|~23.253.163.53^ says you are| (OFFLINE -- failure 4, Offline for 0m)
[2018-12-18 16:24:16]| ~Dyn|~216.146.35.35^ says you are| (OFFLINE -- failure 5, Offline for 0m)
[2018-12-18 16:24:31]| ~SafeDNS|~195.46.39.40^ says you are| (OFFLINE -- failure 6, Offline for 1m)
[2018-12-18 16:25:59]| ~CenturyLink Level 3|~209.244.0.3^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 16:28:55]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 16:34:50]| ~OpenNIC|~198.206.14.241^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 16:38:29]| ~UncensoredDNS|~89.233.43.71^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 16:38:54]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 16:40:10]| ~DNS Watch|~84.200.70.40^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 16:40:35]| ~OpenDNS Home|~208.67.222.222^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 16:42:21]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 16:43:56]| ~OpenDNS Home|~208.67.222.222^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 16:45:03]| ~OpenNIC|~198.206.14.241^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 16:45:49]| ~puntCAT|~109.69.8.51^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 16:46:14]| ~CleanBrowsing|~185.228.168.9^ says you are| (OFFLINE -- failure 1, Offline for 0m)
[2018-12-18 16:46:29]| ~CenturyLink Level 3|~209.244.0.4^ says you are| (OFFLINE -- failure 2, Offline for 0m)
[2018-12-18 16:48:35]| ~OpenNIC|~198.206.14.241^ says you are| (OFFLINE -- failure 1, Offline for 0m)
